sample_id,true_label,true_class,temperature,pressure,humidity,temp_diff,press_diff,hum_diff,temp_roll_std,temp_mean_5,hum_mean_5
19239,1,Attack,27.649999618530273,1005.719970703125,67.44000244140625,0.11999999731779099,0.019999999552965164,0.0,0.20107212662696838,27.79400062561035,67.44000244140625
19240,1,Attack,31.209999084472656,1008.8200073242188,59.72999954223633,10.039999961853027,-0.009999999776482582,0.6499999761581421,7.156523704528809,31.326000213623047,59.29399871826172
19241,1,Attack,45.125240325927734,1009.9400024414062,64.05999755859375,0.06140238791704178,0.0,0.029999999329447746,0.2795288860797882,44.79539108276367,64.01000213623047
19242,0,Normal,26.200000762939453,1009.969970703125,81.41999816894531,0.15000000596046448,-0.009999999776482582,-0.25999999046325684,0.09137833118438721,26.1299991607666,81.44599914550781
19243,0,Normal,33.88999938964844,1009.530029296875,47.900001525878906,-0.10999999940395355,0.0,0.11999999731779099,0.170205757021904,34.077999114990234,47.742000579833984
19244,0,Normal,27.450000762939453,1010.219970703125,74.80000305175781,0.03999999910593033,0.019999999552965164,0.15000000596046448,0.16724233329296112,27.582000732421875,74.78600311279297
19245,1,Attack,30.43000030517578,1006.4600219726562,60.79999923706055,0.019999999552965164,-0.05000000074505806,0.0,0.06348228454589844,30.486000061035156,60.79999923706055
19246,1,Attack,31.709999084472656,1008.7000122070312,58.0,0.09000000357627869,0.0,0.0,0.07758866250514984,31.73200035095215,58.0
19247,1,Attack,25.399999618530273,1007.1099853515625,82.47000122070312,-0.10999999940395355,-0.019999999552965164,0.3499999940395355,0.11861702799797058,25.538000106811523,82.0719985961914
19248,0,Normal,33.66999816894531,1009.0900268554688,47.18000030517578,-0.28999999165534973,-0.009999999776482582,-0.2199999988079071,0.11278297752141953,33.85200119018555,47.41600036621094
19249,1,Attack,42.39340591430664,1005.0800170898438,46.18000030517578,0.2731579840183258,0.009999999776482582,0.12999999523162842,0.28255972266197205,42.056209564208984,46.02000045776367
19250,0,Normal,32.41999816894531,1009.0900268554688,50.41999816894531,-0.20999999344348907,0.009999999776482582,-0.2199999988079071,0.10261578857898712,32.59600067138672,50.625999450683594
19251,1,Attack,24.670000076293945,1032.5115966796875,84.58999633789062,0.07000000029802322,0.6786645650863647,0.8399999737739563,0.05263078957796097,24.66200065612793,84.30999755859375
19252,1,Attack,27.510000228881836,1008.5999755859375,72.36000061035156,0.009999999776482582,-0.019999999552965164,0.0,0.060580525547266006,27.492000579833984,72.36000061035156
19253,1,Attack,32.0099983215332,1007.4299926757812,48.953060150146484,0.3700000047683716,0.0,-3.259249448776245,0.1560448706150055,31.790000915527344,52.83909606933594
19254,0,Normal,29.670000076293945,1009.739990234375,67.16999816894531,-0.07000000029802322,0.009999999776482582,0.47999998927116394,0.046043459326028824,29.72800064086914,66.88400268554688
19255,1,Attack,30.6200008392334,1008.77001953125,67.30999755859375,9.960000038146973,0.0,0.25,7.07482385635376,30.615999221801758,66.74199676513672
19256,0,Normal,26.100000381469727,1008.0499877929688,83.3499984741211,0.09000000357627869,0.019999999552965164,0.15000000596046448,0.08348652720451355,26.007999420166016,83.302001953125
19257,1,Attack,37.665550231933594,1009.6199951171875,52.040000915527344,-0.05908268690109253,-0.009999999776482582,0.11999999731779099,0.14403535425662994,37.6657829284668,51.874000549316406
19258,0,Normal,27.260000228881836,1010.0399780273438,80.08999633789062,0.23000000417232513,-0.019999999552965164,-0.6000000238418579,0.15449918806552887,27.052000045776367,80.7300033569336
